0,clean\Cry\2-80482-A_0.wav
1,clean\Laugh\laugh_1.m4a_31_0.wav
1,clean\Laugh\laugh_1.m4a_21_0.wav
2,clean\Noise\1-97392-A_0.wav
1,clean\Laugh\laugh_1.m4a_26_0.wav
0,clean\Cry\margotm4a_8_0.wav
1,clean\Laugh\laugh_1.m4a_66_0.wav
2,clean\Noise\5-156999-B_0.wav
0,clean\Cry\1-187207-A_0.wav
2,clean\Noise\1-110389-A_0.wav
1,clean\Laugh\laugh_1.m4a_47_0.wav
3,clean\Silence\silence.wav_90_0.wav
0,clean\Cry\Louise_01m4a_14_0.wav
2,clean\Noise\1-47819-C_0.wav
1,clean\Laugh\laugh_2.m4a_1_0.wav
1,clean\Laugh\laugh_1.m4a_54_0.wav
1,clean\Laugh\laugh_2.m4a_8_0.wav
2,clean\Noise\4-204121-A_0.wav
1,clean\Laugh\laugh_1.m4a_52_0.wav
1,clean\Laugh\laugh_1.m4a_3_0.wav
3,clean\Silence\silence.wav_29_0.wav
3,clean\Silence\silence.wav_76_0.wav
1,clean\Laugh\laugh_1.m4a_67_0.wav
1,clean\Laugh\laugh_1.m4a_60_0.wav
0,clean\Cry\4-59579-B_0.wav
0,clean\Cry\Louise_01m4a_4_0.wav
1,clean\Laugh\laugh_1.m4a_13_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_7_0.wav
0,clean\Cry\margotm4a_17_0.wav
2,clean\Noise\3-51376-A_0.wav
2,clean\Noise\5-156999-A_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_12_0.wav
0,clean\Cry\Louise_01m4a_3_0.wav
2,clean\Noise\1-79113-A_0.wav
2,clean\Noise\3-51909-B_0.wav
3,clean\Silence\silence.wav_3_0.wav
1,clean\Laugh\laugh_1.m4a_33_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_5_0.wav
1,clean\Laugh\laugh_1.m4a_22_0.wav
2,clean\Noise\1-32318-A_0.wav
1,clean\Laugh\laugh_1.m4a_69_0.wav
3,clean\Silence\silence.wav_21_0.wav
2,clean\Noise\5-156999-D_0.wav
1,clean\Laugh\laugh_2.m4a_4_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_9_0.wav
3,clean\Silence\silence.wav_56_0.wav
0,clean\Cry\5-198411-A_0.wav
2,clean\Noise\1-56380-B_0.wav
3,clean\Silence\silence.wav_19_0.wav
3,clean\Silence\silence.wav_79_0.wav
1,clean\Laugh\laugh_1.m4a_35_0.wav
0,clean\Cry\margotm4a_21_0.wav
2,clean\Noise\3-124958-A_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_10_0.wav
0,clean\Cry\1-211527-A_0.wav
3,clean\Silence\silence.wav_61_0.wav
3,clean\Silence\silence.wav_69_0.wav
0,clean\Cry\3-152007-B_0.wav
2,clean\Noise\2-69131-B_0.wav
2,clean\Noise\3-62878-B_0.wav
2,clean\Noise\4-165813-B_0.wav
3,clean\Silence\silence.wav_44_0.wav
3,clean\Silence\silence.wav_57_0.wav
3,clean\Silence\silence.wav_73_0.wav
2,clean\Noise\4-204115-A_0.wav
1,clean\Laugh\laugh_1.m4a_73_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_4_0.wav
2,clean\Noise\3-151557-A_0.wav
2,clean\Noise\3-51731-B_0.wav
3,clean\Silence\silence.wav_92_0.wav
2,clean\Noise\2-114280-A_0.wav
3,clean\Silence\silence.wav_36_0.wav
0,clean\Cry\margotm4a_1_0.wav
3,clean\Silence\silence.wav_45_0.wav
2,clean\Noise\1-34094-A_0.wav
2,clean\Noise\3-161010-A_0.wav
0,clean\Cry\1-22694-A_0.wav
2,clean\Noise\5-242491-A_0.wav
3,clean\Silence\silence.wav_5_0.wav
2,clean\Noise\5-156999-E_0.wav
3,clean\Silence\silence.wav_68_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_1_0.wav
3,clean\Silence\silence.wav_48_0.wav
3,clean\Silence\silence.wav_18_0.wav
3,clean\Silence\silence.wav_31_0.wav
3,clean\Silence\silence.wav_49_0.wav
0,clean\Cry\4-185575-B_0.wav
3,clean\Silence\silence.wav_43_0.wav
0,clean\Cry\Louise_01m4a_5_0.wav
0,clean\Cry\1-211527-C_0.wav
2,clean\Noise\5-242490-A_0.wav
2,clean\Noise\2-144137-A_0.wav
1,clean\Laugh\laugh_1.m4a_28_0.wav
2,clean\Noise\4-223125-A_0.wav
0,clean\Cry\3-152007-E_0.wav
1,clean\Laugh\laugh_1.m4a_23_0.wav
2,clean\Noise\4-184235-A_0.wav
2,clean\Noise\3-146697-A_0.wav
2,clean\Noise\2-138465-A_0.wav
3,clean\Silence\silence.wav_62_0.wav
0,clean\Cry\5-198411-D_0.wav
1,clean\Laugh\laugh_1.m4a_50_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_8_0.wav
0,clean\Cry\margotm4a_15_0.wav
2,clean\Noise\3-203375-A_0.wav
0,clean\Cry\margotm4a_11_0.wav
1,clean\Laugh\laugh_1.m4a_7_0.wav
3,clean\Silence\silence.wav_22_0.wav
3,clean\Silence\silence.wav_7_0.wav
1,clean\Laugh\laugh_2.m4a_12_0.wav
2,clean\Noise\1-30344-A_0.wav
3,clean\Silence\silence.wav_34_0.wav
1,clean\Laugh\laugh_1.m4a_64_0.wav
1,clean\Laugh\laugh_1.m4a_75_0.wav
0,clean\Cry\margotm4a_5_0.wav
3,clean\Silence\silence.wav_82_0.wav
1,clean\Laugh\laugh_1.m4a_40_0.wav
3,clean\Silence\silence.wav_15_0.wav
1,clean\Laugh\laugh_1.m4a_16_0.wav
2,clean\Noise\3-155234-A_0.wav
1,clean\Laugh\laugh_1.m4a_12_0.wav
2,clean\Noise\2-70938-A_0.wav
3,clean\Silence\silence.wav_67_0.wav
0,clean\Cry\margotm4a_23_0.wav
1,clean\Laugh\laugh_1.m4a_48_0.wav
0,clean\Cry\5-198411-B_0.wav
1,clean\Laugh\laugh_1.m4a_17_0.wav
0,clean\Cry\2-151079-A_0.wav
3,clean\Silence\silence.wav_37_0.wav
2,clean\Noise\4-165813-A_0.wav
3,clean\Silence\silence.wav_93_0.wav
1,clean\Laugh\laugh_1.m4a_42_0.wav
1,clean\Laugh\laugh_1.m4a_58_0.wav
0,clean\Cry\3-152007-A_0.wav
1,clean\Laugh\laugh_1.m4a_8_0.wav
2,clean\Noise\1-100032-A_0.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_13_0.wav
0,clean\Cry\Louise_01m4a_10_0.wav
0,clean\Cry\1-60997-A_0.wav
3,clean\Silence\silence.wav_64_0.wav
0,clean\Cry\margotm4a_12_0.wav
2,clean\Noise\3-51909-A_0.wav
2,clean\Noise\4-204123-A_0.wav
1,clean\Laugh\laugh_1.m4a_74_0.wav
